"SpeciesID"	"Plot"	"Pheno.Event"	"MinDOY"	"MeanDOY"	"MaxDOY"
"72"	"CHCE"	"Art1"	"Peak"	157.299631735388	179.769983297529	193.615514285699
"73"	"CHCE"	"Art2"	"End"	182.429591533326	198.67902930145	214.225829059076
"74"	"CHCE"	"Art2"	"Onset"	156.692701195838	171.205842103877	184.532148913815
"75"	"CHCE"	"Art2"	"Peak"	170.225349887973	184.275737998004	196.766793255175
"76"	"CHCE"	"Art3"	"End"	197.542007644181	212.681797815731	235.218356004345
"77"	"CHCE"	"Art3"	"Onset"	170.042046305989	185.240899614222	214.711947772581
"78"	"CHCE"	"Art3"	"Peak"	185.945744362016	198.250702655836	225.800563581309
"79"	"CHCE"	"Art4"	"End"	195.819605632683	212.738814715443	232.46332757371
"80"	"CHCE"	"Art4"	"Onset"	158.582312818972	182.901750958555	198.374071531755
"81"	"CHCE"	"Art4"	"Peak"	180.274253175087	196.323908375933	209.762263752455
"82"	"CHCE"	"Art5"	"End"	190.347955366639	207.182514245777	230.08284203389
"83"	"CHCE"	"Art5"	"Onset"	155.601430506571	172.315944131751	197.565155091822
"84"	"CHCE"	"Art5"	"Peak"	165.068996359099	188.095960137576	208.289029680284
"85"	"CHCE"	"Art6"	"End"	189.328362718686	204.729853271944	214.011963910017
"86"	"CHCE"	"Art6"	"Onset"	155.661287362834	176.291139586796	196.812974382464
"87"	"CHCE"	"Art6"	"Peak"	167.30118668246	188.429142930551	203.145721352058
"88"	"CHCE"	"Art7"	"End"	192.435603967036	207.580621024961	229.967161818913
"89"	"CHCE"	"Art7"	"Onset"	155.134974490599	168.909802444372	192.467832235842
"90"	"CHCE"	"Art7"	"Peak"	162.553457781575	186.356392606176	207.27184822379
"91"	"Calliphoridae"	"Art2"	"End"	226.442519621219	226.442519621219	226.442519621219
"92"	"Calliphoridae"	"Art2"	"Onset"	155.576088144227	155.576088144227	155.576088144227
"93"	"Calliphoridae"	"Art2"	"Peak"	168.920617940158	168.920617940158	168.920617940158
"94"	"Calliphoridae"	"Art3"	"End"	232.032126307385	233.846346334888	235.660566362391
"95"	"Calliphoridae"	"Art3"	"Onset"	159.383896623597	184.569928488687	209.755960353777
"96"	"Calliphoridae"	"Art3"	"Peak"	217.355685107961	221.499057778003	225.642430448044
"97"	"Calliphoridae"	"Art4"	"End"	236.246954042854	236.246954042854	236.246954042854
"98"	"Calliphoridae"	"Art4"	"Onset"	210.871210471822	210.871210471822	210.871210471822
"99"	"Calliphoridae"	"Art4"	"Peak"	227.623672047504	227.623672047504	227.623672047504
"100"	"Calliphoridae"	"Art5"	"End"	232.879602298991	232.879602298991	232.879602298991
"101"	"Calliphoridae"	"Art5"	"Onset"	156.352263490854	156.352263490854	156.352263490854
"102"	"Calliphoridae"	"Art5"	"Peak"	205.104727416924	205.104727416924	205.104727416924
"103"	"Calliphoridae"	"Art7"	"End"	226.979036805294	231.194487548585	235.409938291875
"104"	"Calliphoridae"	"Art7"	"Onset"	157.027852120675	184.074167601723	211.120483082772
"105"	"Calliphoridae"	"Art7"	"Peak"	180.088973242477	202.731537547711	225.374101852946
"106"	"Chalcidoidea"	"Art3"	"End"	229.043174554587	232.802644963496	236.572127403052
"107"	"Chalcidoidea"	"Art3"	"Onset"	201.958251191465	211.721321290493	224.179502105528
"108"	"Chalcidoidea"	"Art3"	"Peak"	215.712319977618	222.730661213949	231.501098223614
"109"	"Chalcidoidea"	"Art4"	"End"	229.743173722086	232.62670574227	235.069397301189
"110"	"Chalcidoidea"	"Art4"	"Onset"	204.65857039538	210.018480041224	220.309692648029
"111"	"Chalcidoidea"	"Art4"	"Peak"	217.075833585956	221.813967547241	227.611263904426
"112"	"Chalcidoidea"	"Art5"	"End"	218.589965921593	229.855225169633	234.620600753136
"113"	"Chalcidoidea"	"Art5"	"Onset"	180.602228241254	196.519493107137	205.977399895991
"114"	"Chalcidoidea"	"Art5"	"Peak"	205.353776985666	214.772100085157	222.330840165444
"115"	"Chalcidoidea"	"Art7"	"End"	216.407140268778	217.421133390821	218.435126512865
"116"	"Chalcidoidea"	"Art7"	"Onset"	176.876945342441	184.467353218986	192.057761095531
"117"	"Chalcidoidea"	"Art7"	"Peak"	197.987050761384	200.761614679641	203.536178597899
"118"	"Coccoidea"	"Art3"	"End"	211.828032849261	223.173056312571	231.732660272254
"119"	"Coccoidea"	"Art3"	"Onset"	174.869228769641	188.725558115001	213.301888731862
"120"	"Coccoidea"	"Art3"	"Peak"	192.680342486497	204.998893628778	222.190771414917
"121"	"Coccoidea"	"Art4"	"End"	210.117713886415	224.726856210128	235.253657773002
"122"	"Coccoidea"	"Art4"	"Onset"	180.254821433447	190.48627731207	202.156514680272
"123"	"Coccoidea"	"Art4"	"Peak"	194.134344930238	207.630572318685	221.207303807164
"124"	"Coccoidea"	"Art5"	"End"	221.374207698697	225.535939611479	231.437643124975
"125"	"Coccoidea"	"Art5"	"Onset"	185.099203350939	202.867018308646	211.955387868321
"126"	"Coccoidea"	"Art5"	"Peak"	202.666566490207	213.555489348382	220.213150586983
"127"	"Coccoidea"	"Art7"	"End"	215.120112866902	223.287720580754	232.31820028085
"128"	"Coccoidea"	"Art7"	"Onset"	171.772201457556	192.586289896206	204.462095991347
"129"	"Coccoidea"	"Art7"	"Peak"	199.711133620153	207.702378943394	217.096466686088
"130"	"Collembola"	"Art1"	"End"	199.426832669475	220.234620578224	230.539386355999
"131"	"Collembola"	"Art1"	"Onset"	161.804459972929	176.022073895945	195.55636494234
"132"	"Collembola"	"Art1"	"Peak"	180.118495121008	197.012233964212	214.43048183381
"133"	"Collembola"	"Art2"	"End"	203.759308287828	215.940742843525	228.597425519063
"134"	"Collembola"	"Art2"	"Onset"	155.515813844164	168.321904015441	184.401444808243
"135"	"Collembola"	"Art2"	"Peak"	165.872511389772	188.13875629305	205.611053513493
"136"	"Collembola"	"Art3"	"End"	204.533997184849	221.444253682135	235.41410833081
"137"	"Collembola"	"Art3"	"Onset"	155.717372507886	174.965519595086	212.695805928107
"138"	"Collembola"	"Art3"	"Peak"	166.415408672358	196.233712965256	226.742517153078
"139"	"Collembola"	"Art4"	"End"	209.105176707936	222.076167921663	233.648913234318
"140"	"Collembola"	"Art4"	"Onset"	161.917249384398	178.320899725633	201.557892820307
"141"	"Collembola"	"Art4"	"Peak"	183.710764432068	199.409620881896	219.404807802348
"142"	"Collembola"	"Art5"	"End"	191.154719055294	212.653851660264	231.315481620463
"143"	"Collembola"	"Art5"	"Onset"	155.88086684218	168.533865030837	186.426362494905
"144"	"Collembola"	"Art5"	"Peak"	167.284276824123	188.632700130838	206.669980124776
"145"	"Collembola"	"Art6"	"End"	177.283870527214	212.892175114499	235.736970874441
"146"	"Collembola"	"Art6"	"Onset"	154.952746270376	182.446875535971	226.328585944913
"147"	"Collembola"	"Art6"	"Peak"	160.840259522193	195.129592470416	231.044282124808
"148"	"Collembola"	"Art7"	"End"	191.500747598881	215.865167749381	234.65047591342
"149"	"Collembola"	"Art7"	"Onset"	157.134783272318	167.633129412231	184.471835284007
"150"	"Collembola"	"Art7"	"Peak"	172.295404931189	191.206576092981	217.00833515633
